is_common_attributes,batch_size,total_records_cnt,success_records_cnt,elapsed_time_sec
False,100,100,100,0.2557738920149859
True,100,100,100,0.20698601301410235
False,100,1000,1000,0.9548339080065489
True,100,1000,1000,0.9338118220039178
False,100,10000,10000,7.162682146998122
True,100,10000,10000,6.87645082900417
False,10,100,100,0.5429330980114173
True,10,100,100,0.5177236729941797
False,10,1000,1000,4.605304750992218
True,10,1000,1000,4.52457823898294
False,10,10000,10000,43.79085095098708
True,10,10000,10000,44.12839935199008
